"","country","ccode","year","Capacity","demo","lnpop","lngdp","polity2"
"3204","Cote d'Ivoire",437,1998,-0.6375692486763,0,9.56752490997314,7.18614435195923,-0.600000023841858
"3205","Cote d'Ivoire",437,1999,-0.809517741203308,0,9.58376407623291,7.17701864242554,-0.100000001490116
"3206","Cote d'Ivoire",437,2000,-1.24469971656799,0,9.60150337219238,7.12769365310669,0.400000005960464
"3207","Cote d'Ivoire",437,2001,-1.2613490819931,0,9.60163879394531,7.10414409637451,0.400000005960464
"3208","Cote d'Ivoire",437,2002,-1.42310702800751,0,9.73122692108154,7.06731986999512,0
"3209","Cote d'Ivoire",437,2003,-1.24785733222961,0,9.75778293609619,7.02908754348755,0
"3210","Cote d'Ivoire",437,2004,-1.18743133544922,0,9.78433895111084,7.02108383178711,0
"3211","Cote d'Ivoire",437,2005,-1.23522675037384,0,9.8128719329834,7.01750612258911,0
"3212","Cote d'Ivoire",437,2006,-1.31330692768097,0,9.84107780456543,7.00306558609009,0
"3213","Cote d'Ivoire",437,2007,-1.54668605327606,0,9.8690185546875,6.99759578704834,0
"3214","Cote d'Ivoire",437,2008,-1.5545802116394,0,9.89669895172119,7.00078058242798,0
"3215","Cote d'Ivoire",437,2009,-1.45296120643616,0,9.92412185668945,7.00838422775269,0
"3216","Guinea",438,1960,-1.55084848403931,0,8.09346199035645,5.97126197814941,-0.899999976158142
"3217","Guinea",438,1961,-1.4298529624939,0,8.06306266784668,6.01859331130981,-0.899999976158142
"3218","Guinea",438,1962,-1.35220336914062,0,8.08948230743408,6.07073783874512,-0.899999976158142
"3219","Guinea",438,1963,-1.06887590885162,0,8.11999416351318,5.99893665313721,-0.899999976158142
"3220","Guinea",438,1964,-1.1275794506073,0,8.13768863677979,6.04263305664062,-0.899999976158142
"3221","Guinea",438,1965,-0.949172139167786,0,8.16365623474121,6.09131002426147,-0.899999976158142
"3222","Guinea",438,1966,-0.895922601222992,0,8.19118595123291,6.0935697555542,-0.899999976158142
"3223","Guinea",438,1967,-0.939699172973633,0,8.21689891815186,6.10479307174683,-0.899999976158142
"3224","Guinea",438,1968,-0.85731315612793,0,8.22897720336914,6.11589193344116,-0.899999976158142
"3225","Guinea",438,1969,-0.805211901664734,0,8.25061988830566,6.12686920166016,-0.899999976158142
"3226","Guinea",438,1970,-0.79760479927063,0,8.26898860931396,6.1420373916626,-0.899999976158142
"3227","Guinea",438,1971,-0.723830580711365,0,8.28450393676758,6.15273284912109,-0.899999976158142
"3228","Guinea",438,1972,-0.682063400745392,0,8.29729461669922,6.15485811233521,-0.899999976158142
"3229","Guinea",438,1973,-0.676035165786743,0,8.30844593048096,6.17794418334961,-0.899999976158142
"3230","Guinea",438,1974,-0.631253957748413,0,8.31923007965088,6.22653675079346,-0.899999976158142
"3231","Guinea",438,1975,-0.91860032081604,0,8.33086395263672,6.24804306030273,-0.899999976158142
"3232","Guinea",438,1976,-1.14652538299561,0,8.34307765960693,6.32076835632324,-0.899999976158142
"3233","Guinea",438,1977,-0.493321925401688,0,8.3560848236084,6.32256507873535,-0.899999976158142
"3234","Guinea",438,1978,-0.67072457075119,0,8.37031555175781,6.32972097396851,-0.899999976158142
"3235","Guinea",438,1979,-0.536237299442291,0,8.38617324829102,6.31173467636108,-0.899999976158142
"3236","Guinea",438,1980,-0.513559579849243,0,8.40335273742676,6.32435894012451,-0.899999976158142
"3237","Guinea",438,1981,-0.129330709576607,0,8.42266273498535,6.30991840362549,-0.899999976158142
"3238","Guinea",438,1982,-0.191148921847343,0,8.44419193267822,6.30809831619263,-0.899999976158142
"3239","Guinea",438,1983,-0.223629683256149,0,8.3918571472168,6.29894924163818,-0.899999976158142
"3240","Guinea",438,1984,-0.638143360614777,0,8.41913890838623,6.28226661682129,-0.699999988079071
"3241","Guinea",438,1985,-0.944866240024567,0,8.44719982147217,6.25190401077271,-0.699999988079071
"3242","Guinea",438,1986,-0.731294095516205,0,8.47532939910889,6.24610662460327,-0.699999988079071
"3243","Guinea",438,1987,-0.735025882720947,0,8.50349998474121,6.25190401077271,-0.699999988079071
"3244","Guinea",438,1988,-0.573411464691162,0,8.53149032592773,6.28599786758423,-0.699999988079071
"3245","Guinea",438,1989,-0.651060998439789,0,8.61758136749268,6.30078601837158,-0.699999988079071
"3246","Guinea",438,1990,-0.649912774562836,0,8.65799808502197,6.29156923294067,-0.699999988079071
"3247","Guinea",438,1991,-1.07633936405182,0,8.70797920227051,6.24610662460327,-0.5
"3248","Guinea",438,1992,-1.31445515155792,0,8.76389694213867,6.2441668510437,-0.5
"3249","Guinea",438,1993,-0.968692183494568,0,8.81936931610107,6.26530122756958,-0.5
"3250","Guinea",438,1994,-0.975725114345551,0,8.86686325073242,6.27287721633911,-0.5
"3251","Guinea",438,1995,-0.888889670372009,0,8.90245532989502,6.28599786758423,-0.100000001490116
"3252","Guinea",438,1996,-0.946732103824615,0,8.9251880645752,6.30261898040771,-0.100000001490116
"3253","Guinea",438,1997,-1.0451934337616,0,8.93787479400635,6.33859395980835,-0.100000001490116
